hhid,eligible_members,formal_savers,informal_savers,savings_responses,savings_answered,savings_target,bank_access_count,mobile_money_access_count,assisted_banking_count,any_bank_access,any_mobile_money_access,any_assisted_banking,household_size,members_with_age,head_indiv,head_sex_code,head_age,state_code,lga_code,zone_code,urban_rural_code,state_name,working_age_members,members_any_work,members_income_activity,members_helped_income_activity,reported_main_job_earnings,total_reported_main_job_earnings,employment_rate,digital_age10_members,mobile_access_count,internet_access_count,any_mobile_access,any_internet_access,asset_items_listed,asset_types_owned,total_units_owned,total_current_asset_value,income_source_types_listed,income_source_types_received,total_reported_income_sources
10001,4,3,0,4,4,1,3,3,3,1,1,1,7.0,7.0,1.0,1.0,63.0,1.0,115.0,4.0,1.0,Abia,7,2,0,0,2,120000.0,0.2857142857142857,6,4,4,1,1,42,10,22.0,513000.0,7,0,0.0
10002,4,0,3,4,4,1,4,4,0,1,1,0,6.0,6.0,1.0,1.0,56.0,1.0,115.0,4.0,1.0,Abia,6,2,0,0,2,330000.0,0.3333333333333333,6,6,6,1,1,42,12,30.0,1101800.0,7,1,80000.0
10004,3,0,3,3,3,1,3,1,0,1,1,0,3.0,3.0,1.0,1.0,76.0,1.0,115.0,4.0,1.0,Abia,3,0,0,0,0,0.0,0.0,3,3,3,1,1,42,13,27.0,1085000.0,7,1,28600.0
10005,5,2,0,5,5,1,2,2,2,1,1,1,6.0,6.0,1.0,1.0,56.0,1.0,115.0,4.0,1.0,Abia,6,2,0,0,2,380000.0,0.3333333333333333,6,2,2,1,1,42,15,28.0,1306000.0,7,0,0.0
10008,5,2,0,5,5,1,5,5,0,1,1,0,7.0,7.0,1.0,1.0,68.0,1.0,115.0,4.0,1.0,Abia,7,3,0,0,3,270000.0,0.42857142857142855,7,5,5,1,1,42,9,20.0,322000.0,7,1,10000.0
10009,2,2,1,2,2,1,2,2,2,1,1,1,6.0,6.0,1.0,1.0,49.0,1.0,105.0,4.0,2.0,Abia,6,2,0,0,2,475000.0,0.3333333333333333,4,3,3,1,1,42,16,36.0,1374000.0,7,0,0.0
10010,3,3,0,3,3,1,3,3,0,1,1,0,3.0,3.0,1.0,1.0,72.0,1.0,115.0,4.0,1.0,Abia,3,1,0,0,1,100000.0,0.3333333333333333,3,3,3,1,1,42,13,29.0,1875500.0,7,1,164000.0
10031,4,2,0,4,4,1,2,2,2,1,1,1,5.0,5.0,1.0,1.0,53.0,1.0,111.0,4.0,1.0,Abia,5,2,0,0,2,55000.0,0.4,5,2,2,1,1,42,13,21.0,440000.0,7,0,0.0
10032,4,0,4,4,4,1,4,2,0,1,1,0,4.0,4.0,1.0,1.0,56.0,1.0,111.0,4.0,1.0,Abia,4,4,0,0,4,110000.0,1.0,4,4,4,1,1,42,13,23.0,306500.0,7,0,0.0
10033,1,1,1,1,1,1,1,0,0,1,0,0,2.0,2.0,2.0,2.0,55.0,1.0,111.0,4.0,1.0,Abia,2,1,0,0,1,3000.0,0.5,2,2,0,1,0,42,9,13.0,89000.0,7,1,15000.0
