Feature,Coefficient,Odds_Ratio,RF_Importance,XGB_Importance
any_bank_access,1.2356,3.4406,0.2307,0.4188
any_assisted_banking,0.739,2.0938,0.0752,0.0495
any_mobile_money_access,0.6071,1.8351,0.1004,0.0796
any_internet_access,0.3216,1.3793,0.0813,0.1087
asset_types_owned,0.1895,1.2087,0.0944,0.0263
employment_rate,0.1651,1.1795,0.0356,0.0188
household_size,0.1137,1.1204,0.0244,0.0139
members_income_activity,0.101,1.1063,0.0026,0.0133
total_current_asset_value,0.0967,1.1015,0.0715,0.0162
zone_code_5.0,0.0917,1.096,0.0079,0.0232
total_reported_main_job_earnings,0.0906,1.0948,0.047,0.0167
zone_code_4.0,0.0719,1.0746,0.0118,0.029
members_any_work,0.0682,1.0705,0.0206,0.0154
total_reported_income_sources,0.04,1.0408,0.0264,0.0196
urban_rural_code_2.0,0.0325,1.033,0.0079,0.0134
head_age,0.0122,1.0123,0.0387,0.0146
asset_items_listed,0.0,1.0,0.0,0.0
head_sex_code_2.0,-0.021,0.9792,0.0048,0.0179
any_mobile_access,-0.0848,0.9187,0.0048,0.0098
total_units_owned,-0.1199,0.887,0.0589,0.016
working_age_members,-0.1529,0.8582,0.0243,0.0162
zone_code_2.0,-0.4118,0.6624,0.01,0.0216
zone_code_6.0,-0.487,0.6144,0.0059,0.0179
zone_code_3.0,-0.6022,0.5476,0.0147,0.0236
